Feature,SHAP_Value,Embedding_Value
Embedding_519,1.1109761,-0.0050834008
Embedding_706,0.60311514,0.021641668
Embedding_609,0.573421,0.006396465
Embedding_424,0.43852627,-0.06964454
Embedding_246,-0.3439523,0.009907514
Embedding_362,-0.32291147,0.01180958
Embedding_245,0.30026227,0.065458424
Embedding_478,0.28707772,-0.02135659
Embedding_385,0.2794516,-0.046514943
Embedding_713,0.26896527,-0.075569846
Embedding_287,-0.244209,-0.06263055
Embedding_100,-0.23910648,0.02426881
Embedding_192,0.20254923,0.020744802
Embedding_658,0.19453736,-0.008745894
Embedding_443,-0.19242856,0.051020373
Embedding_114,0.18698445,-0.027912788
Embedding_623,0.1803752,-0.04359193
Embedding_89,0.17108385,0.002864942
Embedding_95,-0.1685655,0.030952703
Embedding_440,-0.15896763,-0.069446445
Embedding_248,-0.15777892,-0.013083827
Embedding_488,0.15628411,0.06631522
Embedding_486,-0.1537833,-0.026041843
Embedding_366,-0.14756982,-0.01713796
Embedding_313,0.14268883,0.09435901
Embedding_544,0.12722406,0.1161183
Embedding_118,0.11766738,0.031915717
Embedding_183,-0.11532123,-0.0045570508
Embedding_567,-0.11217375,-0.03986281
Embedding_83,-0.111237325,0.03793262
Embedding_151,-0.106394775,-0.04310888
Embedding_171,-0.106071725,-0.0026576854
Embedding_462,0.10395314,0.04965341
Embedding_744,-0.10293216,-0.025898129
Embedding_378,0.10168047,-0.004612282
Embedding_364,0.10114738,0.094876096
Embedding_738,-0.09870389,0.06865539
Embedding_578,0.09814363,0.011234762
Embedding_233,0.09135817,-0.009940948
Embedding_247,0.08933267,0.11671692
Embedding_505,0.08913404,-0.016709875
Embedding_598,-0.088607796,0.010617614
Embedding_67,0.084857054,0.055965327
Embedding_262,0.08279119,-0.0054435916
Embedding_720,0.07965817,-0.019881152
Embedding_144,0.076297,0.15136054
Embedding_461,-0.07225017,0.012559071
Embedding_496,-0.068674654,0.22244424
Embedding_483,-0.06692882,-0.009315778
Embedding_134,0.06654966,0.07374517
Embedding_599,-0.065629214,0.035513178
Embedding_646,0.06266391,0.08337295
Embedding_211,-0.062253416,0.06644471
Embedding_761,-0.061451994,-0.08602116
Embedding_78,-0.06087952,-0.097593784
Embedding_677,0.059543412,-0.027383823
Embedding_353,0.058580823,-0.0734564
Embedding_241,-0.05854836,0.021096017
Embedding_594,0.058131173,0.06824023
Embedding_124,0.05260236,0.0016183555
Embedding_116,-0.050859757,0.017575862
Embedding_235,-0.050364338,-0.11482556
Embedding_187,0.050101776,0.0051166597
Embedding_315,0.049487643,-0.03166286
Embedding_107,0.049137343,-0.041249655
Embedding_695,0.048658162,-0.0017495155
Embedding_411,-0.046240687,0.08277999
Embedding_524,-0.043221176,-0.050945945
Embedding_289,-0.041637987,0.054413345
Embedding_665,0.04051522,-0.058542617
Embedding_419,0.040360793,-0.0188445
Embedding_753,0.039957266,-0.032372415
Embedding_447,0.03959065,-0.0063411593
Embedding_146,-0.039576575,-0.01919192
Embedding_427,0.039400663,-0.07337881
Embedding_597,0.03930972,0.07078831
Embedding_55,0.038699463,0.023185128
Embedding_423,-0.038307503,0.016446676
Embedding_169,-0.037389737,-0.0043477044
Embedding_566,-0.03662984,-0.013268985
Embedding_42,-0.03656199,0.042985447
Embedding_351,-0.03632524,-0.038576163
Embedding_290,-0.035967827,0.07296269
Embedding_574,0.035758633,0.025802214
Embedding_539,0.03502341,-0.013320049
Embedding_624,0.03399369,-0.028795308
Embedding_551,-0.03368662,-0.6387475
Embedding_636,-0.033013873,-0.00017414242
Embedding_391,0.03241978,-0.10206291
Embedding_325,-0.030119775,0.047066517
Embedding_330,-0.029977137,-0.2966726
Embedding_482,0.029966589,0.060660228
Embedding_736,-0.0298722,0.061426498
Embedding_321,0.029858682,0.049649723
Embedding_696,0.02983481,0.032203272
Embedding_491,0.029762182,-0.07345179
Embedding_439,-0.029331777,-0.031232912
Embedding_185,-0.028345156,-0.018446434
Embedding_420,0.027478281,-0.05983329
Embedding_460,-0.027428303,0.043274585
Embedding_358,0.027326096,-0.013081085
Embedding_625,-0.027314663,0.103914656
Embedding_2,-0.02721475,0.0056548323
Embedding_667,0.027043309,-0.010487046
Embedding_164,-0.025698153,-0.012168687
Embedding_302,0.025688075,-0.08627008
Embedding_253,-0.024308717,-0.01091386
Embedding_265,-0.023780387,-0.032240286
Embedding_227,-0.02377151,-0.019301116
Embedding_43,-0.023728147,0.022694431
Embedding_758,0.022150988,0.022820756
Embedding_225,0.02214545,0.02820878
Embedding_103,0.020728346,0.048553545
Embedding_571,-0.020473901,0.010240294
Embedding_389,-0.020110186,-0.020638514
Embedding_741,0.019922594,-0.020725414
Embedding_734,-0.01985303,0.07579664
Embedding_266,0.01984721,0.02606327
Embedding_739,0.019827783,0.029542655
Embedding_662,0.019775614,-0.037209935
Embedding_455,0.019338947,0.043346185
Embedding_74,0.01898568,-0.054641515
Embedding_673,-0.018147985,0.043951478
Embedding_395,-0.016667632,0.04036721
Embedding_618,-0.01655573,0.012860168
Embedding_304,0.016183604,0.03847617
Embedding_683,-0.01600199,0.017238278
Embedding_680,-0.015418508,0.012492362
Embedding_367,-0.014967375,0.09194581
Embedding_452,0.014303622,-0.00358871
Embedding_670,0.013990086,-0.012758043
Embedding_341,0.013493408,0.030613016
Embedding_38,-0.01346123,-0.09913344
Embedding_601,-0.012993733,-0.0014537089
Embedding_468,-0.012006356,-0.03382808
Embedding_493,-0.011780765,0.09058176
Embedding_514,0.010870721,0.04425227
Embedding_602,-0.010318564,0.02466001
Embedding_177,-0.010190535,-0.02170328
Embedding_29,-0.010178099,-0.018397078
Embedding_37,-0.009917345,-0.013300426
Embedding_647,0.009384482,0.025022198
Embedding_584,-0.008855836,0.032340646
Embedding_365,-0.008388511,-0.021553574
Embedding_412,-0.008248342,0.0119616985
Embedding_85,0.0072678234,-0.0385715
Embedding_631,-0.00702103,-0.033887766
Embedding_477,-0.0068826443,0.024694309
Embedding_162,-0.0061324164,0.043974936
Embedding_457,-0.005934665,0.031225177
Embedding_565,-0.0057638297,-0.041923486
Embedding_113,0.0052392296,0.024369076
