,precision,recall,f1-score,support
0,0.995609220636663,0.9967032967032967,0.9961559582646897,910.0
1,0.9662921348314607,0.9555555555555556,0.9608938547486033,90.0
accuracy,0.993,0.993,0.993,0.993
macro avg,0.9809506777340619,0.9761294261294262,0.9785249065066466,1000.0
weighted avg,0.9929706829141949,0.993,0.9929823689482419,1000.0
