,precision,recall,f1-score,support
0,0.9945175438596491,0.9967032967032967,0.995609220636663,910.0
1,0.9659090909090909,0.9444444444444444,0.9550561797752809,90.0
accuracy,0.992,0.992,0.992,0.992
macro avg,0.98021331738437,0.9705738705738706,0.975332700205972,1000.0
weighted avg,0.9919427830940988,0.992,0.9919594469591386,1000.0
