Feature,SHAP_Value,Embedding_Value
Embedding_14,0.003876071,0.09302552
Embedding_189,-0.0037800865,-9.72487e-06
Embedding_484,0.0036796369,-0.022123173
Embedding_147,0.0035320602,-0.057354487
Embedding_377,0.003494806,0.047575314
Embedding_71,-0.003485305,-0.040224593
Embedding_464,-0.0032926858,0.041746337
Embedding_541,0.0026784586,0.12464721
Embedding_308,0.002580495,-0.0035485364
Embedding_736,-0.002237404,0.060051028
Embedding_207,0.0021686582,0.06147361
Embedding_162,-0.0020857826,0.04156125
Embedding_26,-0.0018753774,0.10330376
Embedding_381,-0.0017879892,0.006773576
Embedding_633,-0.0014895222,0.027952572
Embedding_588,-0.0014422,11.505229
Embedding_494,-0.0014273704,0.21267188
Embedding_122,0.0013783202,0.067921706
Embedding_626,-0.0012206992,0.024897505
Embedding_510,0.0010391724,0.012906104
Embedding_49,-0.0010320926,-0.042271167
Embedding_550,0.0010191484,0.025933225
Embedding_629,0.0009958042,0.064333096
Embedding_466,0.0009819877,-0.1002872
Embedding_589,-0.0009454163,0.040871494
Embedding_54,0.00082286244,-0.10641557
Embedding_666,0.0007512163,-0.015882254
Embedding_188,0.0007179228,0.02630345
Embedding_244,-0.00068351,0.027499165
Embedding_386,-0.0006805167,0.029407054
Embedding_146,0.00064754044,-0.033819973
Embedding_641,0.0006082801,0.055093795
Embedding_6,0.00059965765,-0.026992746
Embedding_587,-0.00053862546,0.064562365
Embedding_72,0.00050932396,0.031222736
Embedding_627,-0.00049417,0.09534612
Embedding_612,0.00046924973,-0.06037585
Embedding_506,0.00044733874,-0.05519049
Embedding_283,0.0003799481,0.014650464
Embedding_552,-0.00033449265,-0.05799356
Embedding_526,-0.0002723212,0.011901781
Embedding_558,0.0002267002,-0.014835551
Embedding_288,0.00019155821,0.081291534
Embedding_450,-0.00014883408,-0.012186866
Embedding_5,-0.00010094701,-0.08075701
Embedding_352,-5.4951e-05,0.027001776
Embedding_175,0.0,-0.020552076
Embedding_174,0.0,-0.077338606
Embedding_173,0.0,-0.06469073
Embedding_172,0.0,0.060583275
Embedding_170,0.0,0.098948315
Embedding_168,0.0,0.063493624
Embedding_167,0.0,-0.0063708387
Embedding_166,0.0,0.049386527
Embedding_165,0.0,-0.025567748
Embedding_163,0.0,0.0046692863
Embedding_161,0.0,-0.018174078
Embedding_199,0.0,-0.075108096
Embedding_198,0.0,0.022477096
Embedding_197,0.0,-0.002480126
Embedding_196,0.0,-0.016319893
Embedding_195,0.0,0.08894749
Embedding_194,0.0,-0.02895023
Embedding_193,0.0,0.0434118
Embedding_191,0.0,-0.010939484
Embedding_190,0.0,-0.010556068
Embedding_186,0.0,0.036957324
Embedding_184,0.0,0.009592909
Embedding_182,0.0,-0.106814824
Embedding_181,0.0,0.0470764
Embedding_180,0.0,-0.001480665
Embedding_216,0.0,0.041377097
Embedding_215,0.0,0.011570854
Embedding_214,0.0,0.036456153
Embedding_213,0.0,0.20170344
Embedding_212,0.0,0.05106906
Embedding_210,0.0,-0.071269386
Embedding_209,0.0,-0.023343202
Embedding_208,0.0,0.0016693771
Embedding_206,0.0,0.048245788
Embedding_205,0.0,-0.053433567
Embedding_204,0.0,0.058401097
Embedding_203,0.0,-0.091110826
Embedding_202,0.0,0.13523468
Embedding_201,0.0,-0.076134704
Embedding_200,0.0,0.0027736388
Embedding_125,0.0,-0.05751215
Embedding_123,0.0,-0.054306746
Embedding_121,0.0,0.11207644
Embedding_120,0.0,0.037938237
Embedding_119,0.0,0.06810224
Embedding_117,0.0,0.05767592
Embedding_115,0.0,-0.05949016
Embedding_112,0.0,0.09857474
Embedding_223,0.0,0.06031819
Embedding_222,0.0,-0.002213277
Embedding_221,0.0,-0.014746815
Embedding_220,0.0,0.0419328
Embedding_219,0.0,-0.020826709
Embedding_218,0.0,0.028660567
Embedding_243,0.0,0.038046353
Embedding_242,0.0,0.06467181
Embedding_240,0.0,-0.051394492
Embedding_239,0.0,0.06795916
Embedding_238,0.0,-0.082424745
Embedding_237,0.0,-0.011419252
Embedding_236,0.0,-0.04926098
Embedding_234,0.0,0.06331247
Embedding_232,0.0,0.00865943
Embedding_231,0.0,0.07265638
Embedding_230,0.0,2.7704984e-05
Embedding_229,0.0,-0.0030682608
Embedding_228,0.0,-0.0043344907
Embedding_226,0.0,0.015909206
Embedding_224,0.0,0.035821743
Embedding_127,0.0,-0.0030818954
Embedding_264,0.0,-0.08856334
Embedding_263,0.0,-0.043520898
Embedding_261,0.0,-0.08465887
Embedding_260,0.0,-0.06174604
Embedding_259,0.0,-0.07478079
Embedding_258,0.0,-0.011149209
Embedding_257,0.0,0.011547372
Embedding_256,0.0,-0.12349729
Embedding_255,0.0,0.006725436
Embedding_254,0.0,0.06347501
Embedding_252,0.0,0.013075005
Embedding_251,0.0,0.012469737
Embedding_250,0.0,-0.03631627
Embedding_249,0.0,0.07440634
Embedding_282,0.0,-0.1015013
Embedding_281,0.0,-0.14668792
Embedding_280,0.0,0.09071651
Embedding_279,0.0,0.048771508
Embedding_278,0.0,-0.03995987
Embedding_277,0.0,0.003964238
Embedding_276,0.0,-0.040316533
Embedding_275,0.0,0.03833673
Embedding_274,0.0,0.018159172
Embedding_273,0.0,-0.021066397
Embedding_272,0.0,-0.015587963
Embedding_271,0.0,-0.053953744
Embedding_270,0.0,-0.026007883
Embedding_269,0.0,-0.07052719
Embedding_268,0.0,0.05563543
Embedding_267,0.0,0.0361406
Embedding_110,0.0,-0.036815707
Embedding_109,0.0,-0.07957742
Embedding_108,0.0,0.024250539
Embedding_106,0.0,0.04996924
Embedding_105,0.0,0.00018798932
Embedding_104,0.0,-0.0021645129
Embedding_102,0.0,0.07978862
Embedding_101,0.0,-0.09672175
