Feature,SHAP_Value,Embedding_Value
Embedding_403,-0.0040600826,0.10888079
Embedding_157,0.0039645727,0.13488841
Embedding_189,-0.0037800865,0.07082849
Embedding_71,-0.003485305,-0.011476664
Embedding_464,-0.0032926858,0.012721114
Embedding_541,0.0026784586,0.028737638
Embedding_308,0.002580495,0.03867811
Embedding_377,0.002494736,0.015674137
Embedding_554,0.0023682592,-0.0110768825
Embedding_147,0.0023185043,-0.020570915
Embedding_381,-0.002107161,-0.0053742975
Embedding_207,0.0019093694,0.0960042
Embedding_494,-0.0019077978,0.21109295
Embedding_26,-0.0018753774,0.121368736
Embedding_103,0.0017392803,0.046892565
Embedding_633,-0.0014895222,0.06958867
Embedding_588,-0.0014422,11.555282
Embedding_552,-0.001255255,-0.026557729
Embedding_626,-0.0012206992,0.010726705
Embedding_510,0.0010391724,-0.0022990145
Embedding_49,-0.0010320926,0.0038656164
Embedding_550,0.0010191484,0.042023677
Embedding_466,0.0009819877,-0.14144114
Embedding_589,-0.0009454163,0.01951152
Embedding_54,0.00082286244,-0.17217545
Embedding_612,0.00080185314,-0.00412039
Embedding_666,0.0007512163,0.0077764094
Embedding_188,0.0007179228,-0.030344456
Embedding_244,-0.00068351,-0.0057512484
Embedding_386,-0.0006805167,0.0029013492
Embedding_113,-0.00067676953,0.023548286
Embedding_146,0.00064754044,-0.05970765
Embedding_39,0.0006160577,0.0026078764
Embedding_641,0.0006082801,-0.0017500073
Embedding_6,0.00059965765,-0.029220283
Embedding_587,-0.00053862546,-0.042603634
Embedding_72,0.00050932396,-0.0044726133
Embedding_627,-0.00049417,0.023211632
Embedding_506,0.00044733874,-0.060268953
Embedding_122,0.0004299039,0.06192822
Embedding_283,0.0003799481,-0.054965615
Embedding_288,0.0003798175,0.04551203
Embedding_450,-0.00025465884,-0.028119452
Embedding_558,0.0002267002,-0.06948029
Embedding_526,-0.00015502487,-0.04567305
Embedding_5,-0.00014362196,-0.016389823
Embedding_352,-5.4951e-05,-0.07941716
Embedding_179,0.0,-0.019636251
Embedding_178,0.0,-0.046703734
Embedding_176,0.0,0.15068889
Embedding_175,0.0,-0.07425922
Embedding_174,0.0,-0.10228717
Embedding_173,0.0,-0.07571532
Embedding_172,0.0,0.027607221
Embedding_170,0.0,0.07693569
Embedding_142,0.0,0.034589343
Embedding_141,0.0,0.05093945
Embedding_140,0.0,-0.032177992
Embedding_139,0.0,-0.029979832
Embedding_138,0.0,0.038142506
Embedding_137,0.0,-0.055438846
Embedding_136,0.0,0.049704414
Embedding_135,0.0,0.032362796
Embedding_133,0.0,0.09764376
Embedding_132,0.0,0.059507933
Embedding_131,0.0,-0.11159621
Embedding_130,0.0,-0.043381914
Embedding_129,0.0,0.03438407
Embedding_128,0.0,-0.006985098
Embedding_191,0.0,-0.042840526
Embedding_190,0.0,0.0038195997
Embedding_28,0.0,0.008980777
Embedding_206,0.0,-0.019359801
Embedding_205,0.0,-0.03421408
Embedding_204,0.0,-0.021215543
Embedding_203,0.0,-0.1317909
Embedding_202,0.0,0.17169778
Embedding_201,0.0,-0.13258502
Embedding_200,0.0,0.04001372
Embedding_199,0.0,-0.071632236
Embedding_198,0.0,0.086808816
Embedding_197,0.0,-0.016105672
Embedding_196,0.0,-0.008598413
Embedding_195,0.0,0.05657295
Embedding_194,0.0,0.037961252
Embedding_193,0.0,0.027007475
Embedding_226,0.0,0.007952955
Embedding_224,0.0,-0.003801098
Embedding_223,0.0,0.106684536
Embedding_222,0.0,0.04854405
Embedding_221,0.0,0.015118297
Embedding_220,0.0,0.048119385
Embedding_219,0.0,0.026037984
Embedding_218,0.0,0.041822467
Embedding_216,0.0,0.115840495
Embedding_215,0.0,0.0016923465
Embedding_214,0.0,0.077151425
Embedding_213,0.0,0.12089292
Embedding_212,0.0,0.034780513
Embedding_210,0.0,0.039105345
Embedding_209,0.0,-0.046447996
Embedding_208,0.0,-0.01830919
Embedding_120,0.0,-0.02440495
Embedding_119,0.0,-0.0018636473
Embedding_117,0.0,0.055436276
Embedding_115,0.0,-0.013811555
Embedding_112,0.0,0.09037629
Embedding_239,0.0,0.059934724
Embedding_238,0.0,-0.09968896
Embedding_237,0.0,-0.06651028
Embedding_236,0.0,-0.10103668
Embedding_234,0.0,0.080187246
Embedding_232,0.0,-0.008344948
Embedding_231,0.0,0.018911567
Embedding_230,0.0,-0.033426158
Embedding_229,0.0,0.05517619
Embedding_228,0.0,0.051738355
Embedding_256,0.0,-0.08370626
Embedding_255,0.0,-0.07062498
Embedding_254,0.0,0.033556484
Embedding_252,0.0,0.046188597
Embedding_251,0.0,-0.105887
Embedding_250,0.0,-0.019118614
Embedding_249,0.0,-0.0034667626
Embedding_243,0.0,0.07489512
Embedding_242,0.0,0.0725817
Embedding_240,0.0,-0.013327993
Embedding_127,0.0,-0.058810055
Embedding_125,0.0,-0.055812463
Embedding_123,0.0,-0.09555322
Embedding_121,0.0,0.15874895
Embedding_275,0.0,0.038445115
Embedding_274,0.0,0.02828325
Embedding_273,0.0,-0.03935139
Embedding_272,0.0,-0.06371119
Embedding_271,0.0,-0.09996034
Embedding_270,0.0,0.02331293
Embedding_269,0.0,0.0108689545
Embedding_268,0.0,0.022569202
Embedding_267,0.0,-0.005298406
Embedding_264,0.0,-0.041579507
Embedding_263,0.0,0.027672578
Embedding_261,0.0,-0.04271814
Embedding_260,0.0,-0.03383214
Embedding_259,0.0,-0.021588951
Embedding_258,0.0,-0.057717085
Embedding_257,0.0,0.0019984879
Embedding_294,0.0,-0.06072005
Embedding_293,0.0,0.044946127
Embedding_292,0.0,-0.062672384
Embedding_291,0.0,-0.007731151
Embedding_286,0.0,-0.048172466
Embedding_285,0.0,0.05450765
Embedding_284,0.0,-0.035685115
Embedding_282,0.0,-0.1341391
Embedding_281,0.0,-0.06975055
Embedding_280,0.0,0.033189137
Embedding_279,0.0,0.017929502
Embedding_278,0.0,-0.045937054
Embedding_277,0.0,0.020269204
Embedding_276,0.0,-0.05196827
Embedding_311,0.0,-0.049894936
Embedding_310,0.0,-0.037258733
Embedding_309,0.0,0.0066360235
Embedding_307,0.0,-0.045069866
Embedding_306,0.0,-0.029766046
Embedding_305,0.0,-0.039326325
Embedding_303,0.0,-0.007748941
Embedding_301,0.0,0.024614818
Embedding_300,0.0,-0.08528465
Embedding_299,0.0,0.01147764
Embedding_298,0.0,0.011867449
Embedding_297,0.0,-0.058726773
Embedding_296,0.0,0.08770557
Embedding_295,0.0,0.0018963739
Embedding_332,0.0,0.090674885
Embedding_331,0.0,0.037658133
Embedding_329,0.0,0.40848768
Embedding_328,0.0,0.08446246
Embedding_327,0.0,-0.036287375
Embedding_326,0.0,0.021416096
Embedding_324,0.0,-0.062083766
Embedding_323,0.0,-0.052516036
Embedding_322,0.0,0.12532322
Embedding_320,0.0,-0.04359068
Embedding_319,0.0,-0.038446955
Embedding_318,0.0,-0.031178549
Embedding_317,0.0,-0.0033247322
Embedding_316,0.0,0.06892018
Embedding_314,0.0,0.04110202
Embedding_312,0.0,-0.123689026
Embedding_110,0.0,0.007805825
Embedding_109,0.0,-0.093208686
Embedding_108,0.0,0.08096338
Embedding_106,0.0,0.040613692
Embedding_105,0.0,-0.018688805
Embedding_104,0.0,-0.011473373
Embedding_102,0.0,0.046994045
Embedding_101,0.0,-0.12259106
Embedding_99,0.0,-0.06615391
Embedding_98,0.0,-0.08716132
Embedding_97,0.0,0.01817257
Embedding_96,0.0,-0.07282035
Embedding_335,0.0,-0.04201033
