Metric,Value
Accuracy,0.994
Balanced Accuracy,0.9766788766788768
ROC-AUC,0.9983882783882784
PR-AUC,0.9879263674050877
Matthews Correlation Coefficient,0.9630727584328475
Cohen's Kappa,0.9629995066600888
