Feature,SHAP_Value,Embedding_Value
Embedding_245,-0.5102116,0.01123422
Embedding_424,0.4732151,-0.07492209
Embedding_713,0.34126413,-0.023778178
Embedding_246,-0.332918,0.068618536
Embedding_362,-0.30256125,0.008144468
Embedding_478,0.2922131,-0.034059003
Embedding_385,0.2794516,-0.035462357
Embedding_488,-0.27166533,0.11193636
Embedding_89,-0.25825578,0.086480364
Embedding_100,-0.25275198,-0.07012214
Embedding_443,-0.23253205,0.029012665
Embedding_447,-0.22960976,0.030136924
Embedding_287,-0.20449825,-0.016060058
Embedding_192,0.20254923,0.033623844
Embedding_623,0.1803752,0.021889936
Embedding_171,-0.17810866,0.012575846
Embedding_706,-0.17579406,0.07975283
Embedding_544,0.17142604,0.0940232
Embedding_248,-0.15777892,0.022371529
Embedding_658,0.15743351,-0.004864529
Embedding_114,0.15420577,-0.004942719
Embedding_486,-0.1537833,-0.015438776
Embedding_366,-0.14965546,-0.06426667
Embedding_313,0.14268883,0.14390638
Embedding_578,0.13903356,0.027741749
Embedding_567,-0.12849885,-0.048119046
Embedding_519,-0.12844458,-0.05577556
Embedding_95,-0.12335341,0.008749992
Embedding_118,0.11766738,0.0465118
Embedding_440,-0.11654267,-0.021799736
Embedding_14,-0.11183624,0.019294128
Embedding_83,-0.111237325,0.05315586
Embedding_378,0.10168047,0.0014603809
Embedding_364,0.10102472,0.020857498
Embedding_483,-0.099261776,0.04033454
Embedding_738,-0.09870389,0.01115866
Embedding_461,-0.09117385,-0.0056688488
Embedding_247,0.08933267,0.020556191
Embedding_505,0.08913404,0.021696828
Embedding_598,-0.088607796,0.017324273
Embedding_67,0.084362656,0.008753625
Embedding_315,0.08345103,-0.03790378
Embedding_217,0.080295466,0.23691763
Embedding_720,0.07965817,0.06683536
Embedding_144,0.076297,0.17705974
Embedding_183,0.07216864,0.041716095
Embedding_599,-0.07206422,-0.07018988
Embedding_462,0.07080415,0.05151798
Embedding_233,0.070581146,-0.005808316
Embedding_496,-0.068674654,0.15420379
Embedding_262,0.06748233,0.0048523173
Embedding_116,-0.06369893,0.00057360344
Embedding_646,0.06266391,0.101747125
Embedding_211,-0.062253416,0.030895963
Embedding_761,-0.061451994,-0.056912802
Embedding_78,-0.06087952,-0.04098112
Embedding_241,-0.05854836,0.049764514
Embedding_683,-0.057280224,-0.0339128
Embedding_124,0.05260236,-0.071416155
Embedding_235,-0.050364338,-0.15159805
Embedding_187,0.050101776,0.06314634
Embedding_677,0.049987964,-0.044102527
Embedding_695,0.048658162,0.006851528
Embedding_411,-0.046240687,0.022672899
Embedding_493,-0.045001026,0.011988834
Embedding_524,-0.043221176,-0.027542502
Embedding_353,0.0427036,-0.06292561
Embedding_468,-0.041958526,-0.039524704
Embedding_289,-0.041637987,0.0557231
Embedding_753,0.039957266,-0.00050610304
Embedding_146,-0.039576575,-0.013223242
Embedding_597,0.03930972,0.11797785
Embedding_419,-0.03888264,0.005881332
Embedding_423,-0.038307503,-0.05133506
Embedding_330,-0.037513025,-0.27820864
Embedding_39,-0.037392046,0.026897615
Embedding_169,-0.037389737,0.028669458
Embedding_566,0.036741097,0.027225167
Embedding_602,-0.036740255,0.038956642
Embedding_42,-0.03656199,0.013143804
Embedding_351,-0.03632524,-0.038191855
Embedding_290,-0.035967827,0.053677462
Embedding_539,0.03502341,0.022434365
Embedding_594,0.034494027,0.032649666
Embedding_624,0.03399369,0.013225492
Embedding_551,-0.03368662,-0.5922273
Embedding_55,0.03323374,0.004594736
Embedding_636,-0.033013873,0.03257128
Embedding_391,0.032748006,-0.04895404
Embedding_482,0.0324843,0.04881857
Embedding_126,-0.030293025,-0.080083594
Embedding_325,-0.030119775,0.06916753
Embedding_321,0.029858682,0.044534378
Embedding_491,0.029762182,-0.025066484
Embedding_439,-0.029331777,-0.0854324
Embedding_185,-0.028345156,0.07026848
Embedding_484,-0.027695393,-0.107693575
Embedding_420,0.027478281,-0.11651841
Embedding_460,-0.027428303,0.007908592
Embedding_427,0.027364267,-0.076324016
Embedding_358,0.027326096,0.003526859
Embedding_625,-0.027314663,0.04699235
Embedding_2,-0.02721475,0.036877103
Embedding_667,0.027043309,0.07092654
Embedding_164,-0.025698153,-0.017321639
Embedding_302,0.025688075,-0.10325488
Embedding_107,0.025646176,-0.0036785156
Embedding_253,-0.024308717,0.01664253
Embedding_609,0.02404406,0.067169875
Embedding_665,0.024033524,-0.014905553
Embedding_744,0.023798129,-0.0791565
Embedding_265,-0.023780387,-0.02872861
Embedding_227,-0.02377151,-0.0019780584
Embedding_43,-0.023728147,0.040530294
Embedding_656,0.022467544,-0.12049782
Embedding_758,0.022150988,-0.01504707
Embedding_225,0.02214545,-0.047278285
Embedding_571,-0.020473901,0.050479293
Embedding_389,-0.020110186,0.03029888
Embedding_574,0.020074336,-0.036744453
Embedding_741,0.019922594,0.039771806
Embedding_734,-0.01985303,0.018222928
Embedding_266,0.01984721,-0.073040016
Embedding_739,0.019827783,-0.00280473
Embedding_74,0.01898568,-0.0001126118
Embedding_565,-0.018279549,-0.046140462
Embedding_673,-0.018147985,-0.0010398105
Embedding_189,-0.01698706,0.08124996
Embedding_395,-0.016667632,-0.009158727
Embedding_618,-0.01655573,0.0600674
Embedding_304,0.016183604,-0.02429565
Embedding_680,-0.015418508,0.02259453
Embedding_367,-0.014967375,0.1358735
Embedding_134,-0.014662061,0.008690447
Embedding_341,0.013493408,0.008636367
Embedding_601,-0.012993733,-0.09035796
Embedding_696,0.012909344,-0.025471322
Embedding_151,0.0125068575,-0.071271524
Embedding_514,0.010870721,0.06378875
Embedding_452,-0.010794379,-0.039961874
Embedding_177,-0.010190535,-0.003885299
Embedding_29,-0.010178099,0.027171846
Embedding_37,-0.009917345,-0.006565053
Embedding_647,0.009384482,-0.031880416
Embedding_584,-0.008855836,0.06679699
Embedding_365,-0.008388511,-0.039511815
Embedding_631,-0.00702103,0.0365495
Embedding_662,0.006913844,0.103742145
Embedding_477,-0.0068826443,0.026666196
Embedding_38,0.006619256,-0.011248633
Embedding_113,0.0065185465,0.0010092407
Embedding_455,0.006382411,0.01891876
Embedding_412,0.0059832046,0.08079273
Embedding_457,-0.005934665,0.019759795
Embedding_670,0.0050825747,0.018111378
Embedding_85,0.004242629,0.04653568
Embedding_143,0.0041113,0.038377456
Embedding_639,-0.004066988,-0.036549658
Embedding_403,-0.0040600826,0.07016759
Embedding_157,0.0039645727,0.14369698
Embedding_71,-0.003485305,-0.046728313
Embedding_464,-0.0032926858,0.0171846
Embedding_162,-0.002777047,0.068902686
Embedding_541,0.0026784586,0.020434149
Embedding_122,0.0025854106,0.11103824
Embedding_308,0.002580495,0.09987156
Embedding_377,0.002494736,0.010080267
Embedding_26,-0.0023861714,0.077872455
Embedding_554,0.0023682592,0.0009942129
Embedding_736,-0.002237404,0.06726223
Embedding_207,0.0021686582,0.06456272
Embedding_381,-0.002107161,-0.0005279742
Embedding_494,-0.0019077978,0.22045094
Embedding_103,0.0017392803,0.009357423
Embedding_633,-0.0014895222,0.035524443
Embedding_588,-0.0014422,10.919914
Embedding_552,-0.001255255,-0.09435547
Embedding_147,0.0012507252,-0.034800783
Embedding_626,-0.0012206992,0.02468665
Embedding_510,0.0010391724,0.0040136706
Embedding_49,-0.0010320926,0.004559338
Embedding_550,0.0010191484,0.04978209
Embedding_629,0.0009958042,0.0003004782
Embedding_6,0.0009884586,-0.023808006
Embedding_589,-0.0009454163,0.03161079
Embedding_54,0.00082286244,-0.13221787
Embedding_466,0.0007560812,-0.09357153
Embedding_666,0.0007512163,-0.017482162
Embedding_188,0.0007179228,-0.0059391446
Embedding_244,-0.00068351,0.06278711
Embedding_386,-0.0006805167,0.01806885
Embedding_641,0.0006082801,0.056078926
Embedding_587,-0.00053862546,-0.014348671
Embedding_72,0.00050932396,0.03553159
Embedding_627,-0.00049417,0.040926673
Embedding_612,0.00046924973,-0.097382404
Embedding_506,0.00044733874,-0.035448175
Embedding_283,0.0003799481,-0.041824758
Embedding_288,0.0003798175,0.053458843
Embedding_558,0.0002267002,-0.051175945
Embedding_526,-0.00015502487,0.021064043
Embedding_450,-0.00014883408,-0.069128595
Embedding_5,-0.00014362196,-0.092430145
Embedding_352,-5.4951e-05,-0.0038975328
Embedding_139,0.0,0.025555968
Embedding_138,0.0,0.033617027
Embedding_137,0.0,-0.028719753
Embedding_136,0.0,0.0704095
Embedding_135,0.0,-0.00020508096
Embedding_133,0.0,0.033549957
Embedding_132,0.0,-0.039639592
Embedding_131,0.0,-0.103337675
Embedding_130,0.0,-0.064768076
Embedding_129,0.0,0.022229988
Embedding_128,0.0,-0.01429588
Embedding_175,0.0,-0.068329684
Embedding_194,0.0,-0.014216639
Embedding_193,0.0,-0.0011774525
Embedding_191,0.0,0.03424074
Embedding_190,0.0,0.0755699
Embedding_186,0.0,-0.004677087
Embedding_184,0.0,-0.04699009
Embedding_182,0.0,-0.09009771
Embedding_181,0.0,0.0800781
Embedding_180,0.0,0.029366314
Embedding_179,0.0,-0.0021147206
Embedding_178,0.0,-0.10108425
Embedding_176,0.0,0.07398039
Embedding_210,0.0,-0.007664375
Embedding_209,0.0,-0.012160618
Embedding_208,0.0,0.06981386
Embedding_206,0.0,0.028387696
Embedding_205,0.0,-0.013351612
Embedding_204,0.0,0.00457526
Embedding_203,0.0,-0.06700919
Embedding_202,0.0,0.08983788
Embedding_201,0.0,-0.110127755
Embedding_200,0.0,0.09468829
Embedding_199,0.0,-0.04523997
Embedding_198,0.0,0.037107795
Embedding_197,0.0,-0.028239299
Embedding_196,0.0,-0.036736235
Embedding_195,0.0,0.068750754
Embedding_230,0.0,-0.057832636
Embedding_229,0.0,0.015357237
Embedding_228,0.0,0.023131322
Embedding_226,0.0,0.007932078
Embedding_224,0.0,-0.016011547
Embedding_223,0.0,0.10902403
Embedding_222,0.0,-0.014230501
Embedding_221,0.0,0.013183035
Embedding_220,0.0,0.017881997
Embedding_219,0.0,0.061613973
Embedding_218,0.0,-0.014806699
Embedding_216,0.0,0.09928189
Embedding_215,0.0,-0.05072725
Embedding_214,0.0,0.044407297
Embedding_213,0.0,0.08383774
Embedding_212,0.0,0.023606578
Embedding_123,0.0,-0.08519125
Embedding_121,0.0,0.11223788
Embedding_120,0.0,-0.005612485
Embedding_119,0.0,0.033437964
Embedding_117,0.0,0.05068696
Embedding_115,0.0,-0.084074065
Embedding_112,0.0,0.027673854
Embedding_239,0.0,0.048143446
Embedding_238,0.0,-0.03499996
Embedding_237,0.0,-0.053528532
Embedding_236,0.0,-0.036171943
Embedding_234,0.0,0.046155196
Embedding_232,0.0,0.03528778
Embedding_231,0.0,0.014450487
Embedding_259,0.0,-0.03297718
Embedding_258,0.0,-0.0612903
Embedding_257,0.0,0.003110811
Embedding_256,0.0,-0.092776746
Embedding_255,0.0,-0.047326602
Embedding_254,0.0,0.041925974
Embedding_252,0.0,-0.0014506727
Embedding_251,0.0,-0.09272303
Embedding_250,0.0,-0.008538693
Embedding_249,0.0,0.060214285
Embedding_243,0.0,0.06961648
Embedding_242,0.0,0.109097436
Embedding_240,0.0,-0.042650014
Embedding_127,0.0,-0.0043710805
Embedding_125,0.0,-0.07272245
Embedding_278,0.0,0.0025474997
Embedding_277,0.0,0.012905572
Embedding_276,0.0,-0.0025092103
Embedding_275,0.0,0.007495586
Embedding_274,0.0,0.03926841
Embedding_273,0.0,-0.013397232
Embedding_272,0.0,-0.04123851
Embedding_271,0.0,-0.09843612
Embedding_270,0.0,-0.027485996
Embedding_269,0.0,-0.014312649
Embedding_268,0.0,-0.0026758052
Embedding_267,0.0,-0.006166205
Embedding_264,0.0,-0.083214805
Embedding_263,0.0,0.01674246
Embedding_261,0.0,-0.081712395
Embedding_260,0.0,-0.05016543
Embedding_297,0.0,-0.0310615
Embedding_296,0.0,0.0908352
Embedding_295,0.0,-0.04130736
Embedding_294,0.0,-0.037553493
Embedding_293,0.0,0.024727307
Embedding_292,0.0,-0.04722623
Embedding_291,0.0,0.0370804
Embedding_286,0.0,-0.034950495
Embedding_285,0.0,-0.047143206
Embedding_284,0.0,0.010937573
Embedding_282,0.0,-0.07112922
Embedding_281,0.0,0.0325585
Embedding_280,0.0,0.015810475
Embedding_279,0.0,-0.021480761
