,precision,recall,f1-score,support
0,0.9956140350877193,0.9978021978021978,0.9967069154774972,910.0
1,0.9772727272727273,0.9555555555555556,0.9662921348314607,90.0
accuracy,0.994,0.994,0.994,0.994
macro avg,0.9864433811802233,0.9766788766788768,0.9814995251544789,1000.0
weighted avg,0.99396331738437,0.994,0.9939695852193541,1000.0
