Feature,SHAP_Value,Embedding_Value
Embedding_169,1.6326635,-0.3013424
Embedding_603,0.9802435,0.19606188
Embedding_3,0.7352265,-0.225217
Embedding_413,0.36264372,0.028507557
Embedding_445,0.31735665,0.3685939
Embedding_586,0.30320537,0.3603942
Embedding_299,0.298664,0.09362108
Embedding_611,0.27100778,-0.0044162497
Embedding_31,-0.2557333,0.3725717
Embedding_725,-0.24316162,0.068235
Embedding_4,0.20134607,-0.23602006
Embedding_290,0.17437941,-0.36064786
Embedding_62,0.16332659,-0.0061965883
Embedding_297,0.16296211,-0.04761295
Embedding_236,0.15191081,0.029668864
Embedding_81,-0.1354532,0.7551882
Embedding_570,-0.13542734,-0.5196004
Embedding_538,-0.1267727,-0.56869817
Embedding_239,0.12229501,0.14134488
Embedding_565,0.12037521,-0.15027043
Embedding_248,-0.11502764,0.36338082
Embedding_760,-0.06288488,-0.04324285
Embedding_619,-0.048197478,0.12271479
Embedding_738,-0.04531583,-0.10297227
Embedding_337,-0.020205548,0.11496051
Embedding_548,-0.0021623746,0.33916128
Embedding_331,-0.0007548989,-0.08076845
Embedding_15,0.0,0.15789974
Embedding_16,0.0,0.3514796
Embedding_17,0.0,0.3696189
Embedding_18,0.0,-0.0052388636
Embedding_19,0.0,0.14190856
Embedding_20,0.0,-0.234492
Embedding_21,0.0,-0.13568336
Embedding_22,0.0,0.46762142
Embedding_23,0.0,-0.11441934
Embedding_24,0.0,-0.4091103
Embedding_25,0.0,-0.37508523
Embedding_26,0.0,-0.16306143
Embedding_27,0.0,-0.3967138
Embedding_28,0.0,-0.38387203
Embedding_29,0.0,-0.13872254
Embedding_30,0.0,-0.12406649
Embedding_32,0.0,-0.2931331
Embedding_33,0.0,-0.30154106
Embedding_34,0.0,0.19457015
Embedding_35,0.0,-0.25147742
Embedding_36,0.0,0.12505473
Embedding_37,0.0,-0.08546849
Embedding_38,0.0,0.43237162
Embedding_39,0.0,-0.22529906
Embedding_40,0.0,-0.04964939
Embedding_41,0.0,0.23222712
Embedding_42,0.0,0.29271883
Embedding_43,0.0,0.066105105
Embedding_44,0.0,-0.254152
Embedding_45,0.0,0.17825048
Embedding_46,0.0,-4.202465
Embedding_47,0.0,-0.3398484
Embedding_48,0.0,-0.46820593
Embedding_49,0.0,0.06598685
Embedding_50,0.0,0.016275525
Embedding_51,0.0,-0.2477988
Embedding_52,0.0,0.038168978
Embedding_53,0.0,0.6683099
Embedding_54,0.0,0.31327698
Embedding_55,0.0,0.37233865
Embedding_56,0.0,-0.14712937
Embedding_57,0.0,0.17239733
Embedding_58,0.0,0.24572903
Embedding_59,0.0,-0.16327703
Embedding_60,0.0,0.7450549
Embedding_61,0.0,0.17013551
Embedding_63,0.0,0.42694333
Embedding_64,0.0,-0.47827676
Embedding_65,0.0,0.26956648
Embedding_66,0.0,-0.035053276
Embedding_67,0.0,-0.12431374
Embedding_68,0.0,-0.1342676
Embedding_69,0.0,0.71526456
Embedding_70,0.0,-0.2633131
Embedding_71,0.0,-0.20473927
Embedding_72,0.0,0.094518155
Embedding_73,0.0,-0.30547377
Embedding_74,0.0,-0.022525128
Embedding_75,0.0,-0.3288824
Embedding_76,0.0,-0.07913773
Embedding_77,0.0,-0.14291233
Embedding_78,0.0,-0.707933
Embedding_79,0.0,-0.27429208
Embedding_80,0.0,0.11463784
Embedding_82,0.0,0.47780725
Embedding_83,0.0,-0.3512683
Embedding_84,0.0,0.2187716
Embedding_85,0.0,0.078609265
Embedding_86,0.0,-0.052874736
Embedding_87,0.0,-0.066670194
Embedding_88,0.0,0.23919615
Embedding_89,0.0,0.6191817
Embedding_90,0.0,-0.11683389
Embedding_91,0.0,0.2183272
Embedding_92,0.0,0.23878872
Embedding_93,0.0,0.15848409
Embedding_94,0.0,0.54289746
Embedding_95,0.0,0.0021277443
Embedding_96,0.0,0.16057034
Embedding_97,0.0,0.116265774
Embedding_98,0.0,0.07486252
Embedding_99,0.0,0.23436004
Embedding_100,0.0,0.17274803
Embedding_101,0.0,-0.14430964
Embedding_102,0.0,-0.2443616
Embedding_103,0.0,-0.57915086
Embedding_104,0.0,-0.2476697
Embedding_105,0.0,-0.28830805
Embedding_106,0.0,0.02243231
Embedding_107,0.0,-0.11653693
Embedding_108,0.0,-0.065972276
Embedding_109,0.0,-1.5278803
Embedding_110,0.0,0.17660359
Embedding_111,0.0,0.37466994
Embedding_112,0.0,-0.113640994
Embedding_113,0.0,-0.30932328
Embedding_114,0.0,0.13051206
Embedding_115,0.0,0.23506102
Embedding_116,0.0,0.24336043
Embedding_117,0.0,-0.15082292
Embedding_118,0.0,0.25454748
Embedding_119,0.0,-0.069532424
Embedding_120,0.0,0.29198065
Embedding_121,0.0,0.50857806
Embedding_122,0.0,-0.08680119
Embedding_123,0.0,-0.5005244
Embedding_124,0.0,0.07600724
Embedding_125,0.0,-0.23058018
Embedding_126,0.0,0.1682
Embedding_127,0.0,0.023591809
Embedding_128,0.0,0.11662631
Embedding_129,0.0,0.029345855
Embedding_130,0.0,0.21073544
Embedding_131,0.0,0.5999191
Embedding_132,0.0,-0.046541862
Embedding_133,0.0,-0.044616397
Embedding_134,0.0,0.090252146
Embedding_135,0.0,-0.0096478835
Embedding_136,0.0,0.06609601
Embedding_137,0.0,-0.085200414
Embedding_138,0.0,-0.017430708
Embedding_139,0.0,0.30228415
Embedding_140,0.0,-0.6560417
Embedding_141,0.0,-0.46215567
Embedding_142,0.0,-2.5991926
Embedding_143,0.0,0.021775786
Embedding_144,0.0,0.7070005
Embedding_145,0.0,-0.08656635
Embedding_146,0.0,0.44845045
Embedding_147,0.0,0.13247806
Embedding_148,0.0,-0.44787848
Embedding_149,0.0,0.6601554
Embedding_150,0.0,0.14890009
Embedding_151,0.0,0.08540255
Embedding_152,0.0,-0.43546414
Embedding_153,0.0,-0.07635791
Embedding_154,0.0,-0.22506428
Embedding_155,0.0,0.23370159
Embedding_156,0.0,-0.261255
Embedding_157,0.0,0.1459612
Embedding_158,0.0,0.061655857
Embedding_159,0.0,0.39174443
Embedding_160,0.0,0.30165008
Embedding_161,0.0,0.30694225
Embedding_162,0.0,-0.28419912
Embedding_163,0.0,-0.14706121
Embedding_164,0.0,0.13081597
Embedding_165,0.0,0.036075436
Embedding_166,0.0,0.5125858
Embedding_167,0.0,0.25916687
Embedding_168,0.0,0.28033027
Embedding_170,0.0,0.21752803
Embedding_171,0.0,-0.09408695
Embedding_172,0.0,0.48781392
Embedding_173,0.0,0.018359188
Embedding_174,0.0,0.3287956
Embedding_175,0.0,0.16474049
Embedding_176,0.0,0.21958828
Embedding_177,0.0,0.43030238
Embedding_178,0.0,0.48528448
Embedding_179,0.0,0.0716226
Embedding_180,0.0,-0.75251853
Embedding_181,0.0,-0.10087219
Embedding_182,0.0,0.15882835
Embedding_183,0.0,-0.07356545
Embedding_184,0.0,0.346005
Embedding_185,0.0,-0.12828055
Embedding_186,0.0,0.45082024
Embedding_187,0.0,-0.077243224
Embedding_188,0.0,-0.0707805
Embedding_189,0.0,-0.07426037
Embedding_190,0.0,-0.8460005
Embedding_191,0.0,-0.80570644
Embedding_192,0.0,0.31627068
Embedding_193,0.0,-0.21164952
Embedding_194,0.0,0.86496747
Embedding_195,0.0,-0.19540086
Embedding_196,0.0,0.4545413
Embedding_197,0.0,-0.38652992
Embedding_198,0.0,-0.31652865
Embedding_199,0.0,-0.079533
Embedding_200,0.0,0.0012878887
Embedding_201,0.0,0.15088964
Embedding_202,0.0,-0.06318593
Embedding_203,0.0,-0.24680577
Embedding_204,0.0,-0.09570913
Embedding_205,0.0,4.289068
Embedding_206,0.0,-0.037510097
Embedding_207,0.0,-0.2761743
Embedding_208,0.0,-0.27786836
Embedding_209,0.0,0.2536793
Embedding_210,0.0,-0.57457435
Embedding_211,0.0,-0.19267678
Embedding_212,0.0,-0.074086174
Embedding_213,0.0,-0.5277755
Embedding_214,0.0,0.24145342
Embedding_215,0.0,0.53859293
Embedding_216,0.0,0.48035973
Embedding_217,0.0,0.037227042
Embedding_218,0.0,-0.17094623
Embedding_219,0.0,-0.2043736
Embedding_220,0.0,0.2006034
Embedding_221,0.0,0.32175186
Embedding_222,0.0,-0.052193515
Embedding_223,0.0,0.2871668
Embedding_224,0.0,-0.64926124
Embedding_225,0.0,-0.108247906
Embedding_226,0.0,-0.11533017
Embedding_227,0.0,0.15041372
Embedding_228,0.0,0.39048883
Embedding_229,0.0,-1.703066
Embedding_230,0.0,-0.097010925
Embedding_231,0.0,-0.20360662
Embedding_232,0.0,-0.47894007
Embedding_233,0.0,0.403839
Embedding_234,0.0,0.20804583
Embedding_235,0.0,0.100049585
Embedding_237,0.0,0.012438331
Embedding_238,0.0,-0.26620397
Embedding_240,0.0,0.20531587
Embedding_241,0.0,0.702979
Embedding_242,0.0,-0.030915042
Embedding_243,0.0,0.44514897
Embedding_244,0.0,-0.25770056
Embedding_245,0.0,0.7576179
Embedding_246,0.0,0.24082237
Embedding_247,0.0,-0.50823486
Embedding_249,0.0,-0.31862476
Embedding_250,0.0,0.47010124
Embedding_251,0.0,0.38420027
Embedding_252,0.0,0.18363167
Embedding_253,0.0,-0.127885
Embedding_254,0.0,0.16944623
Embedding_255,0.0,0.45909956
Embedding_256,0.0,0.056460492
Embedding_257,0.0,-0.0778837
Embedding_258,0.0,-0.52577174
Embedding_259,0.0,-0.28918365
Embedding_260,0.0,-0.65615594
Embedding_261,0.0,-0.15886745
Embedding_262,0.0,0.06204209
Embedding_263,0.0,0.42755282
Embedding_264,0.0,-0.23865189
Embedding_265,0.0,-0.4289031
Embedding_266,0.0,0.2102742
Embedding_267,0.0,-0.7127894
Embedding_268,0.0,-0.06813449
Embedding_269,0.0,-0.4161114
Embedding_270,0.0,0.13949716
Embedding_271,0.0,-0.38877347
Embedding_272,0.0,-0.70927286
Embedding_273,0.0,-2.3860724
Embedding_274,0.0,0.07073848
Embedding_275,0.0,0.036025703
Embedding_276,0.0,0.4012062
Embedding_277,0.0,0.30705568
Embedding_278,0.0,-0.48647422
Embedding_279,0.0,-0.18794066
Embedding_280,0.0,0.30223095
Embedding_281,0.0,0.34433475
Embedding_282,0.0,-0.16415711
Embedding_283,0.0,0.17484197
Embedding_284,0.0,0.015433483
Embedding_285,0.0,-0.42438257
Embedding_286,0.0,0.42884624
Embedding_287,0.0,-0.4566905
Embedding_288,0.0,0.3712042
Embedding_289,0.0,0.011268459
Embedding_291,0.0,0.13601783
Embedding_292,0.0,-0.048518844
Embedding_293,0.0,-0.14138831
Embedding_294,0.0,0.23366421
Embedding_295,0.0,-0.15209594
Embedding_296,0.0,0.3473467
Embedding_298,0.0,-0.012429517
Embedding_300,0.0,-0.4991464
Embedding_301,0.0,-0.41567054
Embedding_302,0.0,0.14263907
Embedding_303,0.0,-0.07504722
Embedding_304,0.0,-0.3138931
Embedding_305,0.0,-0.45449993
Embedding_306,0.0,-0.3885822
Embedding_307,0.0,-0.14967199
Embedding_308,0.0,-3.8503575
Embedding_309,0.0,0.06960128
Embedding_310,0.0,-0.34468275
Embedding_311,0.0,-0.72159183
Embedding_312,0.0,0.1798885
Embedding_313,0.0,0.32104492
Embedding_314,0.0,0.74679637
