Model,Accuracy,Spam Precision,Spam Recall,Spam F1-Score,Macro F1,Weighted F1
BERT,0.994,0.9773,0.9556,0.9663,0.9815,0.994
RoBERTa,0.993,0.9663,0.9556,0.9609,0.9785,0.993
