Metric,Value
Accuracy,0.993
Balanced Accuracy,0.9761294261294262
ROC-AUC,0.9984004884004885
PR-AUC,0.9834477972904447
Matthews Correlation Coefficient,0.9570679603582546
Cohen's Kappa,0.9570499447785005
