,BERT,,,
,precision,recall,f1-score,support
0,0.995614035,0.997802198,0.996706915,910
1,0.977272727,0.955555556,0.966292135,90
accuracy,0.994,0.994,0.994,0.994
macro avg,0.986443381,0.976678877,0.981499525,1000
weighted avg,0.993963317,0.994,0.993969585,1000
